idNumber,gdpPerCapitaUsd,healthcareAccessIndex,urbanizationRatePercent,sanitationCoveragePercent,populationDensityPerKm2,accessToCleanWaterPercent
1,57057,96.92,84.61,63.23,593,33.6
2,17220,84.73,73.37,29.12,234,89.54
3,86022,58.37,72.86,93.56,57,35.29
4,31166,39.07,71.07,94.25,555,57.53
5,25661,23.03,55.55,69.23,414,36.6
6,84334,53.45,86.11,51.11,775,69.48
7,6726,34.56,76.53,68.6,584,55.43
8,76593,7.27,45.22,70.22,111,44.17
9,5470,47.62,69.4,69.77,538,71.66
10,72858,57.11,89.85,78.67,250,55.44
11,51303,61.13,79.68,25.37,299,41.68
12,50972,7.38,10.1,28.2,265,79.01
13,35058,48.31,69.03,42.62,956,88.58
14,68917,65.59,81.83,47.98,370,49.16
15,50606,96.11,36.22,71.04,76,43.05
16,6043,2.5,88.2,33.75,289,35.27
17,7630,67.63,42.1,63.28,415,66.95
18,51718,6.23,43.69,34.83,787,88.19
19,14634,15.88,22.87,48.44,14,47.56
20,80375,17.33,17.73,94.84,552,62.24
21,31686,32.89,52.93,91.66,161,41.26
22,27313,83.13,58.22,96.25,276,58.29
23,55052,85.62,39.35,67.31,572,31.08
24,41522,37.5,58.53,60.1,768,93.75
25,75241,43.13,41.57,87.91,57,77.36
26,6633,21.7,79.45,26.37,343,53.3
27,51641,43.25,86.31,98.28,653,91.68
28,59746,27.48,57.48,56.99,145,42.81
29,84224,17.49,77.38,74.06,528,35.51
30,69361,15.85,78.3,78.28,492,95.98
31,6473,77.56,67.1,70.31,128,51.63
32,55543,11.69,25.36,91.32,297,95.52
33,72246,61.6,22.4,43.05,351,74.63
34,17761,16.75,83.56,62.58,287,98.6
35,82551,83.78,31.2,54.42,503,82.74
36,38435,27.45,29.71,76.33,739,37.38
37,81950,4.49,23.29,51.61,636,89.66
38,93264,45.21,52.2,91.43,173,40.35
39,1492,99.98,64.16,59.23,294,78.45
40,39040,81.31,64.09,62.88,973,65.03
41,89818,57.03,30.88,59.47,232,79.54
42,26835,18.94,17.58,69.81,607,83.55
43,68632,11.75,34.82,60.83,710,86.26
44,93711,83.86,50.27,94.99,386,88.45
45,3449,78.77,59,30.49,62,89.31
46,22225,46.22,31.65,21.07,337,58.88
47,30571,42.14,24.65,61.74,350,92.25
48,25977,74.87,77.33,81.17,536,80.37
49,53136,53.6,78.63,71.86,648,88.73
50,71626,40.42,32.4,97.02,697,99.24
51,40505,25.17,54.81,34.58,127,38.15
52,78665,12.26,45.19,75.52,191,55.94
53,66101,59.48,21.36,85.27,589,86.46
54,13394,82.6,85.25,92.97,499,36.04
55,69800,74.62,10.78,62.28,515,67.85
56,19677,69.63,25.01,49.05,334,90.09
57,5977,92.89,37.65,96.43,877,31.33
58,78681,39.45,78.52,83.32,713,95.77
59,67451,13.72,73.09,57.67,203,98.47
60,63149,10.19,56.39,72.09,187,52.56
61,38692,95.5,65.6,42.29,977,83.68
62,6707,58.9,37.27,69.19,568,38.9
63,8869,81.08,85.24,63.2,973,84.1
64,82654,53.56,12.14,23.14,918,63.71
65,66797,39.85,18.07,89.26,663,90.22
66,87826,20.03,84.04,59.22,18,44.88
67,1782,85.64,85.6,58.38,421,77.09
68,81862,6.35,49.25,42.67,943,85.03
69,18147,90.02,56.12,35.71,533,44.17
70,94186,20.5,82.2,43.31,613,87.28
71,88123,0.95,78.27,72,22,97.06
72,36881,10.39,78.96,27.81,286,73.13
73,37714,88.35,39.74,46.63,448,84.94
74,89529,7.37,76.44,98.3,47,67.28
75,69419,35.52,15.54,41.72,829,71.87
76,85429,25.03,48.96,97.33,803,30.93
77,51274,3.69,28.99,28.38,994,66.7
78,27954,53.15,12.86,83.52,799,70.29
79,529,99.83,59.38,55.18,444,76.9
80,49960,85.3,16.09,35.59,765,41.86
81,75737,16.89,19.61,82.99,253,46.9
82,84513,88.43,16.54,20.56,849,82.92
83,53082,45.18,88,47.77,558,41.73
84,83194,27.33,13.14,68.39,753,59.12
85,84018,64.03,31.58,38.48,182,47.53
86,75682,21.67,62.16,46.6,260,68.16
87,35871,87.97,75.87,27.32,641,99.08
88,2980,62.42,58.66,88.26,351,89.64
89,9538,13.6,88.12,53.77,854,48.86
90,25282,57.06,37.02,31.62,942,55.8
91,63944,51.04,47.76,35.93,23,94.3
92,60337,47.15,75.7,42.01,283,92.88
93,85550,36.5,64.54,38.36,362,41.24
94,9921,47.42,27.13,60.26,144,88.05
95,49598,58.6,49.89,92.42,979,50.83
96,88894,73.36,88.08,34.71,709,68.07
97,87111,91.79,79.04,56.28,451,30.36
98,23552,4.44,25.34,73.11,999,99.9
99,68832,56.93,24.38,34.7,388,83.28
100,34395,75.2,76.27,32.32,576,46.92
101,72538,11.56,25.91,32.43,811,77.87
102,46110,91.15,46.22,90.56,136,50.53
103,1787,24.5,24.46,76.9,310,36.26
104,87270,83.33,11.17,46.91,780,59.77
105,25624,66.2,80.03,92.2,945,72.96
106,20829,55.95,72.32,96.28,853,36.28
107,37197,86.92,47.65,51.86,621,66.29
108,59117,96.92,22.77,60.84,830,66.04
109,63083,99.71,74.51,48.65,168,74.01
110,25882,68.33,38.75,38.2,544,47.13
111,67963,33.91,62.96,82.4,209,31.44
112,93745,87.47,35.34,71.93,74,52.74
113,30405,65.43,44.58,49.35,704,57.9
114,90394,32.33,52.84,21.15,748,74.5
115,20865,93.24,70.96,81.09,632,95.11
116,18629,74.77,76.57,58.19,88,44.24
117,29484,45.28,45.48,25.85,766,78.11
118,46858,45.45,28.64,29.96,101,36.82
119,78711,99.59,22.29,70.27,149,43.34
120,24990,37.37,37.26,63.71,10,65.64
121,55934,9.41,74.14,39.24,276,79.59
122,6471,53.86,31.92,31.19,60,90.1
123,18950,88.49,13.8,90.78,238,82.07
124,15156,58.45,55.14,30.79,378,31.07
125,41554,79.31,12.69,26.85,459,77.88
126,98933,5.49,80.79,69.6,566,87.73
127,7772,67.34,64.24,40.2,108,66.79
128,40356,7.92,30.55,72.53,502,97.59
129,69304,55.64,47.53,59.13,81,30.3
